ts,open,high,low,close,vol,date
1739413800,96901.0,97100.0,96800.0,96900.0,0.192963334,2025-02-13 02:30:00
1739417400,96800.0,97000.0,96335.51,96335.51,0.2150131732,2025-02-13 03:30:00
1739421000,96336.44,96400.0,95726.76,95819.13,0.4435676213,2025-02-13 04:30:00
1739424600,95900.0,96248.43,95824.0,95826.0,0.2959909807,2025-02-13 05:30:00
1739428200,95826.0,95877.81,95395.0,95699.86,0.3955663481,2025-02-13 06:30:00
1739431800,95699.71,95946.36,95500.0,95536.04,0.2761575312,2025-02-13 07:30:00
1739435400,95536.09,95759.85,95300.0,95455.01,0.2765469498,2025-02-13 08:30:00
1739439000,95455.01,96088.1,95455.01,95799.0,0.2343139176,2025-02-13 09:30:00
1739442600,95799.0,95984.99,95599.01,95600.0,0.2136455058,2025-02-13 10:30:00
1739446200,95600.0,95756.77,95200.0,95500.0,0.2721656739,2025-02-13 11:30:00
1739449800,95539.8,95554.99,95205.0,95428.0,0.1612728265,2025-02-13 12:30:00
1739453400,95499.0,95998.99,95423.14,95697.0,0.2921819993,2025-02-13 13:30:00
1739457000,95599.98,95959.0,95200.0,95505.31,0.2377245998,2025-02-13 14:30:00
1739460600,95530.03,95959.0,95250.01,95250.01,0.2937167308,2025-02-13 15:30:00
1739464200,95260.0,95736.08,95110.14,95647.76,0.1882536353,2025-02-13 16:30:00
1739467800,95639.82,95849.82,95375.0,95550.0,0.3737899082,2025-02-13 17:30:00
1739471400,95550.0,95900.01,95387.33,95651.0,0.2590935247,2025-02-13 18:30:00
1739475000,95897.93,95897.98,95388.0,95621.01,0.1207921199,2025-02-13 19:30:00
1739478600,95800.0,95949.0,95620.0,95944.0,0.1051203164,2025-02-13 20:30:00
1739482200,95900.0,96248.99,95630.0,96000.0,0.2437977404,2025-02-13 21:30:00
1739485800,95729.37,96200.03,95727.41,96178.97,0.0948214683,2025-02-13 22:30:00
1739489400,96179.64,96248.99,95910.14,96231.32,0.0604619023,2025-02-13 23:30:00
1739493000,96248.99,96248.99,95910.14,95923.5,0.0211552718,2025-02-14 00:30:00
1739496600,96003.01,96003.01,96000.0,96000.0,0.027794,2025-02-14 01:30:00
1739500200,96219.95,96220.0,95910.12,95910.12,0.0429774714,2025-02-14 02:30:00
1739503800,96217.86,96399.98,95900.0,96299.88,0.2443621184,2025-02-14 03:30:00
1739507400,95999.36,96299.0,95907.11,96055.01,0.1188928519,2025-02-14 04:30:00
1739511000,96300.0,96300.0,96001.0,96010.0,0.1188217191,2025-02-14 05:30:00
1739514600,96010.01,96200.0,96010.0,96120.0,0.191491477,2025-02-14 06:30:00
1739518200,96197.0,96400.0,96123.01,96290.0,0.3598900417,2025-02-14 07:30:00
1739521800,96290.0,96448.8,96126.07,96325.01,0.4327402512,2025-02-14 08:30:00
1739525400,96399.98,96460.0,96261.47,96263.47,0.6657092417,2025-02-14 09:30:00
1739529000,96264.0,96460.0,96263.47,96280.0,0.1737558043,2025-02-14 10:30:00
1739532600,96280.0,96399.0,96000.0,96010.0,0.2954285393,2025-02-14 11:30:00
1739536200,96148.96,96190.0,95900.0,95999.0,0.3411262778,2025-02-14 12:30:00
